"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Emergency department use","edvisit","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.137","0.132"," 0.142",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.140","0.135"," 0.146",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.142","0.137"," 0.148",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.145","0.140"," 0.151",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.145","0.140"," 0.151",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.145","0.140"," 0.151",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.147","0.142"," 0.153",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.145","0.140"," 0.150",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.151","0.145"," 0.158",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.161","0.153"," 0.169",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.173","0.164"," 0.182",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.113","0.105"," 0.121",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.150","0.139"," 0.162",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.166","0.154"," 0.178",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.139","0.126"," 0.152",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.116","0.109"," 0.124",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.161","0.149"," 0.174",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.159","0.147"," 0.173",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.146","0.135"," 0.157",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.120","0.112"," 0.129",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.163","0.151"," 0.176",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2013/14","2015/16","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.157","0.146"," 0.168",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","edvisit","2013/14","2015/16","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.148","0.136"," 0.161",NA,NA,NA,NA,NA,NA,"None"
