"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.827","0.819"," 0.835",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.838","0.823"," 0.853",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.813","0.797"," 0.828",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.828","0.808"," 0.846",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.820","0.803"," 0.836",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Auckland Region","All","All","All","All","All","All","All","All","All",TRUE,"0.845","0.829"," 0.861",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All","All",TRUE,"0.825","0.797"," 0.850",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All","All",TRUE,"0.827","0.803"," 0.849",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All","All",TRUE,"0.833","0.790"," 0.870",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All","All",TRUE,"0.805","0.747"," 0.855",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All","All",TRUE,"0.843","0.810"," 0.871",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Marlborough Region","All","All","All","All","All","All","All","All","All",TRUE,"0.796","0.710"," 0.865",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Nelson Region","All","All","All","All","All","All","All","All","All",TRUE,"0.764","0.711"," 0.812",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Northland Region","All","All","All","All","All","All","All","All","All",TRUE,"0.762","0.702"," 0.816",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Otago Region","All","All","All","All","All","All","All","All","All",TRUE,"0.848","0.797"," 0.890",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Southland Region","All","All","All","All","All","All","All","All","All",TRUE,"0.828","0.754"," 0.888",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Taranaki Region","All","All","All","All","All","All","All","All","All",TRUE,"0.822","0.758"," 0.874",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Tasman Region","All","All","All","All","All","All","All","All","All",TRUE,"0.693","0.603"," 0.774",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Waikato Region","All","All","All","All","All","All","All","All","All",TRUE,"0.801","0.776"," 0.823",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Wellington Region","All","All","All","All","All","All","All","All","All",TRUE,"0.826","0.799"," 0.850",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","West Coast Region","All","All","All","All","All","All","All","All","All",TRUE,"0.685","0.461"," 0.860",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","Male","All","All","All","All","All","All","All",TRUE,"0.837","0.826"," 0.848",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","Female","All","All","All","All","All","All","All",TRUE,"0.818","0.807"," 0.830",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","15-24","All","All","All","All","All","All",TRUE,"0.831","0.807"," 0.854",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","25-34","All","All","All","All","All","All",TRUE,"0.808","0.789"," 0.827",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","35-44","All","All","All","All","All","All",TRUE,"0.847","0.830"," 0.862",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","45-54","All","All","All","All","All","All",TRUE,"0.823","0.807"," 0.839",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","55-64","All","All","All","All","All","All",TRUE,"0.804","0.786"," 0.821",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","65-74","All","All","All","All","All","All",TRUE,"0.834","0.814"," 0.853",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","75+","All","All","All","All","All","All",TRUE,"0.876","0.858"," 0.892",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","Māori","All","All","All","All","All",TRUE,"0.774","0.756"," 0.792",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","Pacific","All","All","All","All",TRUE,"0.815","0.782"," 0.845",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","Asian","All","All","All",TRUE,"0.879","0.860"," 0.896",NA,NA,NA,NA,NA,NA,"None"
