"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.103","0.096"," 0.110",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.081","0.072"," 0.092",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.092","0.077"," 0.107",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.136","0.119"," 0.155",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.118","0.099"," 0.138",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Auckland Region","All","All","All","All","All","All","All","All","All",TRUE,"0.081","0.071"," 0.092",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All","All",TRUE,"0.094","0.071"," 0.122",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All","All",TRUE,"0.131","0.105"," 0.162",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All","All",TRUE,"0.073","0.044"," 0.113",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All","All",TRUE,"0.100","0.065"," 0.145",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All","All",TRUE,"0.116","0.086"," 0.153",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Marlborough Region","All","All","All","All","All","All","All","All","All",TRUE,"0.120","0.041"," 0.254",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Nelson Region","All","All","All","All","All","All","All","All","All",TRUE,"0.127","0.065"," 0.218",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Northland Region","All","All","All","All","All","All","All","All","All",TRUE,"0.100","0.063"," 0.147",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Otago Region","All","All","All","All","All","All","All","All","All",TRUE,"0.102","0.068"," 0.145",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Southland Region","All","All","All","All","All","All","All","All","All",TRUE,"0.063","0.033"," 0.107",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Taranaki Region","All","All","All","All","All","All","All","All","All",TRUE,"0.104","0.073"," 0.143",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Tasman Region","All","All","All","All","All","All","All","All","All",TRUE,"0.172","0.081"," 0.303",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Waikato Region","All","All","All","All","All","All","All","All","All",TRUE,"0.087","0.066"," 0.112",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Wellington Region","All","All","All","All","All","All","All","All","All",TRUE,"0.153","0.130"," 0.178",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","West Coast Region","All","All","All","All","All","All","All","All","All",TRUE,"0.137","0.038"," 0.315",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","All","Male","All","All","All","All","All","All","All",TRUE,"0.080","0.071"," 0.090",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","All","Female","All","All","All","All","All","All","All",TRUE,"0.123","0.113"," 0.134",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","All","All","15-24","All","All","All","All","All","All",TRUE,"0.143","0.123"," 0.166",NA,NA,NA,NA,NA,NA,"None"
