"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.455","0.445"," 0.466",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.450","0.432"," 0.468",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.431","0.412"," 0.451",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.459","0.434"," 0.484",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.479","0.455"," 0.503",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","All","All","All","All","All","All","All","All",TRUE,"0.448","0.429"," 0.466",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All","All",TRUE,"0.441","0.400"," 0.483",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All","All",TRUE,"0.478","0.443"," 0.513",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All","All",TRUE,"0.496","0.389"," 0.604",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All","All",TRUE,"0.417","0.353"," 0.482",NA,NA,NA,NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All","All",TRUE,"0.464","0.426"," 0.502",NA,NA,NA,NA,NA,NA,"None"
