"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Private health insurance","private_insurance","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.348","0.337"," 0.359",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.346","0.336"," 0.355",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.346","0.338"," 0.355",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.353","0.345"," 0.361",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.358","0.348"," 0.367",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.358","0.348"," 0.368",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.358","0.349"," 0.368",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.357","0.348"," 0.367",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.363","0.351"," 0.374",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.369","0.357"," 0.382",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.370","0.357"," 0.384",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.395","0.374"," 0.416",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.284","0.269"," 0.299",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.320","0.298"," 0.343",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.355","0.335"," 0.376",NA,NA,NA,NA,NA,NA,"None"
"Private health insurance","private_insurance","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.389","0.369"," 0.409",NA,NA,NA,NA,NA,NA,"None"
