"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Emergency department use","edvisit","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.138","0.134"," 0.143","  489,000","  472,000","  506,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.142","0.137"," 0.147","  510,000","  493,000","  527,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.145","0.140"," 0.151","  532,000","  514,000","  551,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.148","0.143"," 0.154","  557,000","  538,000","  577,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.148","0.143"," 0.154","  571,000","  550,000","  591,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.148","0.143"," 0.153","  580,000","  560,000","  600,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.149","0.144"," 0.154","  596,000","  576,000","  616,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.147","0.143"," 0.152","  600,000","  581,000","  618,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.153","0.148"," 0.159","  633,000","  609,000","  657,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.164","0.157"," 0.170","  681,000","  653,000","  709,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.175","0.168"," 0.183","  742,000","  710,000","  773,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.114","0.106"," 0.123","  141,000","  120,000","  163,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.155","0.145"," 0.167","  108,000","   89,000","  128,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.164","0.153"," 0.175","  120,000","  100,000","  140,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.138","0.126"," 0.150","  119,000","   99,000","  139,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.119","0.111"," 0.126","  153,000","  131,000","  175,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.165","0.154"," 0.176","  116,000","   95,000","  137,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.159","0.147"," 0.170","  116,000","   96,000","  135,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.145","0.136"," 0.155","  125,000","  104,000","  146,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.124","0.116"," 0.132","  161,000","  145,000","  178,000",NA,NA,NA,"None"
"Emergency department use","edvisit","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.166","0.155"," 0.178","  121,000","  104,000","  138,000",NA,NA,NA,"None"
