"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.829","0.821"," 0.836","3,459,000","3,427,000","3,492,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.839","0.826"," 0.852","1,224,000","1,142,000","1,307,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.817","0.802"," 0.830","  690,000","  621,000","  758,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.830","0.813"," 0.846","  703,000","  634,000","  772,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.822","0.806"," 0.837","  843,000","  762,000","  923,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Auckland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.846","0.831"," 0.861","1,091,000","  988,000","1,195,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All","All",FALSE,"0.820","0.794"," 0.843","  243,000","  179,000","  307,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All","All",FALSE,"0.831","0.810"," 0.851","  500,000","  393,000","  607,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All","All",FALSE,"0.841","0.807"," 0.870","   37,000","   19,000","   56,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All","All",FALSE,"0.815","0.767"," 0.856","  109,000","   65,000","  153,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All","All",FALSE,"0.844","0.815"," 0.870","  187,000","  135,000","  240,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Marlborough Region","All","All","All","All","All","All","All","All","All",FALSE,"0.811","0.757"," 0.858","   22,000","    7,000","   37,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Nelson Region","All","All","All","All","All","All","All","All","All",FALSE,"0.765","0.715"," 0.811","   41,000","   20,000","   62,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Northland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.774","0.737"," 0.808","  115,000","   71,000","  159,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Otago Region","All","All","All","All","All","All","All","All","All",FALSE,"0.862","0.820"," 0.897","  147,000","   91,000","  203,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Southland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.819","0.768"," 0.863","   84,000","   43,000","  126,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Taranaki Region","All","All","All","All","All","All","All","All","All",FALSE,"0.829","0.775"," 0.875","   98,000","   55,000","  140,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Tasman Region","All","All","All","All","All","All","All","All","All",FALSE,"0.684","0.613"," 0.748","   32,000","   13,000","   51,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Waikato Region","All","All","All","All","All","All","All","All","All",FALSE,"0.812","0.791"," 0.831","  326,000","  235,000","  417,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","Wellington Region","All","All","All","All","All","All","All","All","All",FALSE,"0.827","0.804"," 0.849","  410,000","  322,000","  498,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","West Coast Region","All","All","All","All","All","All","All","All","All",FALSE,"0.725","0.635"," 0.803","   17,000","    5,000","   29,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.839","0.828"," 0.849","1,719,000","1,696,000","1,741,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.821","0.811"," 0.830","1,733,000","1,711,000","1,755,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","15-24","All","All","All","All","All","All",FALSE,"0.831","0.806"," 0.853","  537,000","  523,000","  552,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","25-34","All","All","All","All","All","All",FALSE,"0.811","0.792"," 0.829","  604,000","  589,000","  618,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","35-44","All","All","All","All","All","All",FALSE,"0.847","0.830"," 0.862","  579,000","  568,000","  590,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","45-54","All","All","All","All","All","All",FALSE,"0.821","0.805"," 0.837","  530,000","  519,000","  540,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","55-64","All","All","All","All","All","All",FALSE,"0.803","0.786"," 0.820","  497,000","  486,000","  508,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","65-74","All","All","All","All","All","All",FALSE,"0.834","0.815"," 0.853","  397,000","  387,000","  406,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","75+","All","All","All","All","All","All",FALSE,"0.876","0.859"," 0.892","  317,000","  310,000","  323,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","Māori","All","All","All","All","All",FALSE,"0.774","0.754"," 0.792","  479,000","  468,000","  491,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","Pacific","All","All","All","All",FALSE,"0.823","0.791"," 0.853","  230,000","  221,000","  239,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","Asian","All","All","All",FALSE,"0.877","0.859"," 0.894","  568,000","  557,000","  580,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","European/Other","All","All",FALSE,"0.822","0.814"," 0.830","2,537,000","2,508,000","2,566,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 1","All",FALSE,"0.854","0.834"," 0.873","  716,000","  697,000","  736,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 2","All",FALSE,"0.846","0.830"," 0.861","  718,000","  699,000","  737,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 3","All",FALSE,"0.831","0.814"," 0.848","  706,000","  690,000","  723,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 4","All",FALSE,"0.811","0.796"," 0.825","  686,000","  670,000","  703,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 5","All",FALSE,"0.798","0.781"," 0.815","  633,000","  616,000","  649,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Non-disabled",FALSE,"0.839","0.832"," 0.847","3,188,000","3,155,000","3,221,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Disabled",FALSE,"0.717","0.692"," 0.742","  262,000","  245,000","  279,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.853","0.833"," 0.871","  596,000","  547,000","  646,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.828","0.810"," 0.845","  626,000","  585,000","  667,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.821","0.797"," 0.843","  333,000","  296,000","  369,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.817","0.798"," 0.835","  357,000","  319,000","  395,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.846","0.824"," 0.865","  354,000","  319,000","  389,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.819","0.797"," 0.839","  347,000","  310,000","  385,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.828","0.804"," 0.849","  436,000","  389,000","  482,000",NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.814","0.794"," 0.833","  403,000","  363,000","  442,000",NA,NA,NA,"None"
