"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.836","0.829"," 0.843","3,536,000","3,507,000","3,565,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.841","0.827"," 0.854","1,239,000","1,155,000","1,322,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.827","0.813"," 0.841","  709,000","  640,000","  778,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.830","0.817"," 0.842","  713,000","  644,000","  782,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.842","0.826"," 0.858","  875,000","  790,000","  959,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Auckland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.844","0.829"," 0.858","1,099,000","  995,000","1,203,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All","All",FALSE,"0.827","0.799"," 0.852","  246,000","  182,000","  310,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All","All",FALSE,"0.846","0.823"," 0.868","  514,000","  403,000","  625,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All","All",FALSE,"0.837","0.779"," 0.885","   38,000","   19,000","   56,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All","All",FALSE,"0.823","0.783"," 0.859","  111,000","   66,000","  156,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All","All",FALSE,"0.843","0.816"," 0.867","  189,000","  136,000","  243,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Marlborough Region","All","All","All","All","All","All","All","All","All",FALSE,"0.810","0.646"," 0.920","   22,000","    7,000","   37,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Nelson Region","All","All","All","All","All","All","All","All","All",FALSE,"0.852","0.790"," 0.901","   46,000","   22,000","   70,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Northland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.820","0.782"," 0.854","  123,000","   77,000","  169,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Otago Region","All","All","All","All","All","All","All","All","All",FALSE,"0.856","0.827"," 0.882","  147,000","   91,000","  204,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Southland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.829","0.740"," 0.897","   88,000","   46,000","  130,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Taranaki Region","All","All","All","All","All","All","All","All","All",FALSE,"0.851","0.812"," 0.886","  102,000","   59,000","  145,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Tasman Region","All","All","All","All","All","All","All","All","All",FALSE,"0.809","0.723"," 0.878","   39,000","   16,000","   61,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Waikato Region","All","All","All","All","All","All","All","All","All",FALSE,"0.819","0.797"," 0.839","  337,000","  244,000","  430,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Wellington Region","All","All","All","All","All","All","All","All","All",FALSE,"0.825","0.808"," 0.841","  416,000","  326,000","  505,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","West Coast Region","All","All","All","All","All","All","All","All","All",FALSE,"0.778","0.710"," 0.836","   19,000","    6,000","   31,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.844","0.834"," 0.855","1,757,000","1,736,000","1,778,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.830","0.822"," 0.839","1,773,000","1,754,000","1,791,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","15-24","All","All","All","All","All","All",FALSE,"0.819","0.796"," 0.841","  533,000","  519,000","  548,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","25-34","All","All","All","All","All","All",FALSE,"0.835","0.819"," 0.850","  631,000","  620,000","  643,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","35-44","All","All","All","All","All","All",FALSE,"0.841","0.824"," 0.858","  580,000","  568,000","  591,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","45-54","All","All","All","All","All","All",FALSE,"0.822","0.804"," 0.839","  534,000","  523,000","  545,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","55-64","All","All","All","All","All","All",FALSE,"0.822","0.805"," 0.838","  515,000","  505,000","  526,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","65-74","All","All","All","All","All","All",FALSE,"0.872","0.857"," 0.887","  422,000","  415,000","  429,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","75+","All","All","All","All","All","All",FALSE,"0.860","0.840"," 0.879","  320,000","  313,000","  327,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","Māori","All","All","All","All","All",FALSE,"0.781","0.761"," 0.800","  490,000","  478,000","  502,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","Pacific","All","All","All","All",FALSE,"0.809","0.774"," 0.841","  225,000","  216,000","  235,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","Asian","All","All","All",FALSE,"0.864","0.847"," 0.880","  567,000","  556,000","  577,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","European/Other","All","All",FALSE,"0.839","0.830"," 0.847","2,625,000","2,597,000","2,654,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 1","All",FALSE,"0.889","0.874"," 0.903","  750,000","  732,000","  768,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 2","All",FALSE,"0.849","0.831"," 0.867","  729,000","  710,000","  748,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 3","All",FALSE,"0.843","0.827"," 0.857","  722,000","  707,000","  737,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 4","All",FALSE,"0.814","0.798"," 0.830","  700,000","  683,000","  716,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 5","All",FALSE,"0.783","0.765"," 0.801","  635,000","  618,000","  653,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Non-disabled",FALSE,"0.856","0.849"," 0.863","3,287,000","3,257,000","3,317,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Disabled",FALSE,"0.632","0.600"," 0.663","  239,000","  221,000","  257,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.856","0.838"," 0.874","  605,000","  554,000","  655,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.828","0.808"," 0.845","  632,000","  591,000","  673,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.825","0.803"," 0.845","  340,000","  303,000","  376,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.834","0.815"," 0.851","  369,000","  332,000","  407,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.846","0.824"," 0.865","  361,000","  324,000","  398,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.817","0.797"," 0.835","  350,000","  313,000","  387,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.843","0.819"," 0.864","  451,000","  404,000","  499,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.844","0.826"," 0.861","  421,000","  379,000","  463,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Auckland Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.859","0.840"," 0.878","  542,000","  485,000","  600,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Auckland Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.830","0.810"," 0.850","  555,000","  501,000","  608,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.821","0.780"," 0.858","  119,000","   88,000","  151,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.833","0.799"," 0.863","  126,000","   92,000","  161,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Canterbury Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.858","0.827"," 0.886","  272,000","  211,000","  333,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Canterbury Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.836","0.810"," 0.860","  240,000","  187,000","  292,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Gisborne Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.824","0.699"," 0.913","   15,000","    6,000","   23,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Gisborne Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.845","0.776"," 0.900","   23,000","   12,000","   34,000",NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.809","0.757"," 0.854","   51,000","   29,000","   73,000",NA,NA,NA,"None"
