"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.090","0.084"," 0.095","  379,000","  355,000","  402,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.077","0.067"," 0.087","  110,000","   96,000","  124,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.076","0.065"," 0.088","   65,000","   53,000","   78,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.119","0.102"," 0.137","  105,000","   84,000","  125,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.094","0.079"," 0.111","   98,000","   79,000","  118,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Auckland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.078","0.068"," 0.088","   99,000","   84,000","  114,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All","All",FALSE,"0.078","0.060"," 0.099","   23,000","   15,000","   32,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All","All",FALSE,"0.104","0.082"," 0.130","   63,000","   42,000","   84,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All","All",FALSE,"0.061","0.037"," 0.094","    3,000","    1,000","    5,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All","All",FALSE,"0.082","0.060"," 0.108","   11,000","    6,000","   16,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All","All",FALSE,"0.104","0.079"," 0.135","   23,000","   15,000","   31,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Marlborough Region","All","All","All","All","All","All","All","All","All",FALSE,"0.098","0.034"," 0.212","    3,000","        0","    5,000",NA,NA,NA,"Low Quality Flag"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Nelson Region","All","All","All","All","All","All","All","All","All",FALSE,"0.099","0.054"," 0.163","    6,000","    2,000","    9,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Northland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.075","0.050"," 0.106","   11,000","    6,000","   16,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Otago Region","All","All","All","All","All","All","All","All","All",FALSE,"0.086","0.058"," 0.122","   15,000","    8,000","   22,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Southland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.050","0.031"," 0.077","    5,000","    2,000","    9,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Taranaki Region","All","All","All","All","All","All","All","All","All",FALSE,"0.081","0.055"," 0.113","   10,000","    5,000","   15,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Tasman Region","All","All","All","All","All","All","All","All","All",FALSE,"0.108","0.079"," 0.144","    5,000","    2,000","    9,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Waikato Region","All","All","All","All","All","All","All","All","All",FALSE,"0.073","0.056"," 0.093","   30,000","   19,000","   42,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","Wellington Region","All","All","All","All","All","All","All","All","All",FALSE,"0.134","0.109"," 0.162","   70,000","   49,000","   92,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","West Coast Region","All","All","All","All","All","All","All","All","All",FALSE,"0.066","0.041"," 0.100","    2,000","        0","    3,000",NA,NA,NA,"None"
"Mental health care","adult_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.071","0.063"," 0.079","  147,000","  131,000","  164,000",NA,NA,NA,"None"
