"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.470","0.460"," 0.480","1,987,000","1,946,000","2,028,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.459","0.441"," 0.477","  675,000","  625,000","  725,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.449","0.431"," 0.468","  384,000","  345,000","  424,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.472","0.449"," 0.495","  410,000","  366,000","  454,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.500","0.478"," 0.521","  517,000","  465,000","  570,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.455","0.436"," 0.474","  591,000","  532,000","  650,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All","All",FALSE,"0.463","0.424"," 0.503","  137,000","  100,000","  175,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All","All",FALSE,"0.500","0.467"," 0.532","  303,000","  235,000","  370,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All","All",FALSE,"0.499","0.420"," 0.579","   23,000","   11,000","   34,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All","All",FALSE,"0.445","0.391"," 0.500","   60,000","   36,000","   83,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All","All",FALSE,"0.470","0.435"," 0.505","  105,000","   74,000","  136,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Marlborough Region","All","All","All","All","All","All","All","All","All",FALSE,"0.515","0.389"," 0.640","   14,000","    3,000","   25,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Nelson Region","All","All","All","All","All","All","All","All","All",FALSE,"0.527","0.454"," 0.600","   29,000","   13,000","   44,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Northland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.480","0.435"," 0.526","   72,000","   43,000","  100,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Otago Region","All","All","All","All","All","All","All","All","All",FALSE,"0.472","0.436"," 0.509","   81,000","   50,000","  112,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Southland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.460","0.404"," 0.515","   49,000","   24,000","   73,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Taranaki Region","All","All","All","All","All","All","All","All","All",FALSE,"0.441","0.404"," 0.478","   53,000","   30,000","   75,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Tasman Region","All","All","All","All","All","All","All","All","All",FALSE,"0.637","0.545"," 0.721","   30,000","   12,000","   48,000",NA,NA,NA,"None"
