"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Private health insurance","private_insurance","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.346","0.336"," 0.357","1,223,000","1,186,000","1,260,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.342","0.333"," 0.351","1,227,000","1,195,000","1,259,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.342","0.334"," 0.351","1,254,000","1,223,000","1,284,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.347","0.339"," 0.355","1,304,000","1,275,000","1,334,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.350","0.341"," 0.359","1,346,000","1,313,000","1,379,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.349","0.340"," 0.359","1,371,000","1,335,000","1,408,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.350","0.341"," 0.359","1,400,000","1,363,000","1,437,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.348","0.338"," 0.357","1,416,000","1,379,000","1,453,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.352","0.342"," 0.363","1,453,000","1,410,000","1,496,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.358","0.346"," 0.369","1,490,000","1,443,000","1,537,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.359","0.347"," 0.372","1,520,000","1,468,000","1,572,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.395","0.374"," 0.416","  486,000","  413,000","  560,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.283","0.269"," 0.298","  198,000","  158,000","  238,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.324","0.302"," 0.347","  236,000","  194,000","  278,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.347","0.327"," 0.368","  302,000","  244,000","  361,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.386","0.366"," 0.407","  496,000","  421,000","  571,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.287","0.273"," 0.301","  203,000","  163,000","  244,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.308","0.288"," 0.329","  226,000","  187,000","  264,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.350","0.330"," 0.371","  302,000","  245,000","  360,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.377","0.358"," 0.396","  491,000","  435,000","  546,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.285","0.269"," 0.301","  207,000","  177,000","  238,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2013/14","2015/16","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.325","0.304"," 0.345","  243,000","  211,000","  274,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2013/14","2015/16","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.353","0.337"," 0.369","  313,000","  271,000","  355,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2014/15","2016/17","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.382","0.362"," 0.402","  494,000","  448,000","  540,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2014/15","2016/17","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.292","0.273"," 0.312","  218,000","  191,000","  246,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2014/15","2016/17","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.339","0.318"," 0.361","  259,000","  228,000","  289,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2014/15","2016/17","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.350","0.331"," 0.369","  333,000","  296,000","  371,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.384","0.363"," 0.404","  496,000","  453,000","  539,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.294","0.276"," 0.314","  226,000","  197,000","  255,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2015/16","2017/18","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.356","0.333"," 0.379","  283,000","  247,000","  318,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2015/16","2017/18","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.345","0.324"," 0.367","  342,000","  301,000","  382,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2016/17","2018/19","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.388","0.367"," 0.408","  516,000","  471,000","  561,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2016/17","2018/19","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.294","0.276"," 0.313","  234,000","  204,000","  264,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2016/17","2018/19","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.347","0.324"," 0.371","  286,000","  249,000","  323,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2016/17","2018/19","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.344","0.322"," 0.367","  335,000","  295,000","  376,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.391","0.369"," 0.413","  540,000","  488,000","  592,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.295","0.275"," 0.316","  243,000","  208,000","  278,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2017/18","2019/20","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.337","0.312"," 0.363","  276,000","  240,000","  311,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2017/18","2019/20","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.349","0.326"," 0.372","  341,000","  299,000","  384,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2018/19","2020/21","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.385","0.362"," 0.407","  539,000","  481,000","  598,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2018/19","2020/21","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.284","0.266"," 0.302","  245,000","  212,000","  278,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2018/19","2020/21","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.332","0.308"," 0.358","  278,000","  241,000","  316,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2018/19","2020/21","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.363","0.340"," 0.388","  353,000","  304,000","  401,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2019/20","2021/22","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.383","0.357"," 0.409","  537,000","  475,000","  599,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2019/20","2021/22","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.281","0.263"," 0.300","  239,000","  209,000","  268,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2019/20","2021/22","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.331","0.306"," 0.356","  287,000","  243,000","  330,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2019/20","2021/22","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.388","0.360"," 0.416","  391,000","  331,000","  450,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2020/21","2022/23","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.372","0.347"," 0.398","  526,000","  471,000","  580,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2020/21","2022/23","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.295","0.273"," 0.318","  252,000","  222,000","  283,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2020/21","2022/23","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.346","0.320"," 0.372","  303,000","  260,000","  346,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2020/21","2022/23","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.400","0.368"," 0.433","  409,000","  351,000","  467,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.378","0.352"," 0.403","  550,000","  492,000","  607,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.310","0.283"," 0.337","  265,000","  229,000","  302,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.350","0.325"," 0.375","  307,000","  268,000","  347,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.383","0.352"," 0.415","  397,000","  342,000","  452,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","All","All","All","Auckland Region","All","All","All","All","All","All","All","All","All",FALSE,"0.414","0.392"," 0.436","  450,000","  376,000","  524,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All","All",FALSE,"0.275","0.254"," 0.295","   72,000","   46,000","   98,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All","All",FALSE,"0.383","0.354"," 0.413","  185,000","  130,000","  239,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All","All",FALSE,"0.144","0.099"," 0.200","    4,000","    2,000","    7,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All","All",FALSE,"0.251","0.218"," 0.285","   36,000","   21,000","   50,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All","All",FALSE,"0.304","0.260"," 0.350","   65,000","   39,000","   91,000",NA,NA,NA,"None"
"Private health insurance","private_insurance","2011/12","2013/14","All","All","All","Marlborough Region","All","All","All","All","All","All","All","All","All",FALSE,"0.252","0.207"," 0.301","    9,000","    5,000","   13,000",NA,NA,NA,"None"
