"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Discontinued indicators","kidanxiety","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.023","0.019","0.028",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.024","0.020","0.029",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.027","0.023","0.032",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.028","0.024","0.033",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.032","0.028","0.037",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.035","0.031","0.040",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.038","0.033","0.043",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.037","0.032","0.042",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.038","0.032","0.045",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.016","0.010","0.024",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.023","0.016","0.033",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.029","0.019","0.041",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.027","0.019","0.037",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.013","0.008","0.019",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.028","0.020","0.039",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.035","0.026","0.047",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.029","0.020","0.041",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.012","0.008","0.017",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.032","0.023","0.043",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2013/14","2015/16","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.039","0.030","0.051",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2013/14","2015/16","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.036","0.024","0.051",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2014/15","2016/17","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.016","0.011","0.022",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2014/15","2016/17","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.034","0.025","0.045",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2014/15","2016/17","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.036","0.028","0.046",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2014/15","2016/17","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.035","0.022","0.053",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.022","0.016","0.030",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.036","0.027","0.047",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2015/16","2017/18","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.031","0.023","0.043",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2015/16","2017/18","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.046","0.032","0.063",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.025","0.019","0.031",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.035","0.026","0.046",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.033","0.026","0.043",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.056","0.042","0.072",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.026","0.020","0.033",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.033","0.023","0.045",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2017/18","2019/20","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.045","0.035","0.057",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2017/18","2019/20","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.056","0.044","0.070",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2018/19","2020/21","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.024","0.019","0.031",NA,NA,NA,NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2018/19","2020/21","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.020","0.043",NA,NA,NA,NA,NA,NA,"None"
