"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Emergency department use","kidedvisit","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.139","0.130","0.149",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.145","0.137","0.154",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.150","0.142","0.157",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.152","0.144","0.159",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.147","0.139","0.156",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.147","0.139","0.154",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.153","0.145","0.161",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.148","0.138","0.158",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.152","0.141","0.164",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.160","0.148","0.173",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.189","0.177","0.203",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.112","0.100","0.125",NA,NA,NA,NA,NA,NA,"None"
"Emergency department use","kidedvisit","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.160","0.147","0.175",NA,NA,NA,NA,NA,NA,"None"
