"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.061","0.053","0.071",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.055","0.042","0.071",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.055","0.040","0.074",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.061","0.044","0.081",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.077","0.049","0.115",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,".S",".S",".S",NA,NA,NA,NA,NA,NA,"Suppress"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",TRUE,"0.065","0.041","0.095",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.091","0.030","0.201",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.058","0.022","0.119",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.052","0.011","0.141",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",TRUE,"0.071","0.041","0.113",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",TRUE,"0.023","0.004","0.070",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Pae Oranga o Ruahine o Tararua","All","All","All","All","All","All","All","All","All","All",TRUE,"0.106","0.064","0.164",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Punanga Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.087","0.043","0.153",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Taumata Hauora o Te Kahu o Taonui","All","All","All","All","All","All","All","All","All","All",TRUE,"0.051","0.036","0.070",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Taura Ora o Waiariki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.053","0.025","0.098",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Tauraki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.079","0.048","0.122",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Te Tiratū","All","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.014","0.058",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Tihei Tākitimu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.052","0.018","0.112",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Tūwharetoa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.072","0.005","0.273",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","Ātiawa Toa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.053","0.030","0.085",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Northland","All","All","All","All","All","All","All","All","All",TRUE,"0.061","0.026","0.119",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Waitematā","All","All","All","All","All","All","All","All","All",TRUE,"0.047","0.028","0.073",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Auckland","All","All","All","All","All","All","All","All","All",TRUE,"0.048","0.020","0.096",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Counties Manukau","All","All","All","All","All","All","All","All","All",TRUE,"0.067","0.043","0.099",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Waikato","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.014","0.058",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Lakes","All","All","All","All","All","All","All","All","All",TRUE,"0.057","0.026","0.106",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Bay of Plenty","All","All","All","All","All","All","All","All","All",TRUE,"0.070","0.041","0.112",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Tairāwhiti","All","All","All","All","All","All","All","All","All",TRUE,"0.091","0.030","0.201",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Taranaki","All","All","All","All","All","All","All","All","All",TRUE,"0.087","0.043","0.153",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Hawke's Bay","All","All","All","All","All","All","All","All","All",TRUE,"0.052","0.018","0.112",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Whanganui","All","All","All","All","All","All","All","All","All",TRUE,"0.023","0.004","0.070",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","MidCentral","All","All","All","All","All","All","All","All","All",TRUE,"0.106","0.064","0.164",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Hutt Valley","All","All","All","All","All","All","All","All","All",TRUE,"0.050","0.026","0.085",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Capital and Coast","All","All","All","All","All","All","All","All","All",TRUE,"0.055","0.026","0.102",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Wairarapa","All","All","All","All","All","All","All","All","All",TRUE,"0.052","0.011","0.141",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Nelson Marlborough","All","All","All","All","All","All","All","All","All",TRUE,"0.058","0.022","0.119",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","West Coast","All","All","All","All","All","All","All","All","All",TRUE,"0.072","0.016","0.189",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Canterbury","All","All","All","All","All","All","All","All","All",TRUE,"0.088","0.041","0.159",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","South Canterbury","All","All","All","All","All","All","All","All","All",TRUE,"0.022","0.001","0.115",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","Southern","All","All","All","All","All","All","All","All","All",TRUE,"0.069","0.033","0.125",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Auckland Region","All","All","All","All","All","All","All","All",TRUE,"0.053","0.039","0.071",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All",TRUE,"0.066","0.043","0.095",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All",TRUE,"0.082","0.040","0.147",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All",TRUE,"0.091","0.030","0.201",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All",TRUE,"0.052","0.018","0.112",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All",TRUE,"0.089","0.052","0.141",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Marlborough Region","All","All","All","All","All","All","All","All",TRUE,"0.025","0.002","0.110",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Nelson Region","All","All","All","All","All","All","All","All",TRUE,"0.127","0.053","0.244",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Northland Region","All","All","All","All","All","All","All","All",TRUE,"0.061","0.026","0.119",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Otago Region","All","All","All","All","All","All","All","All",TRUE,"0.080","0.031","0.165",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Southland Region","All","All","All","All","All","All","All","All",TRUE,"0.053","0.012","0.140",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Taranaki Region","All","All","All","All","All","All","All","All",TRUE,"0.087","0.043","0.153",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Tasman Region","All","All","All","All","All","All","All","All",TRUE,".S",".S",".S",NA,NA,NA,NA,NA,NA,"Suppress"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Waikato Region","All","All","All","All","All","All","All","All",TRUE,"0.033","0.018","0.056",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","Wellington Region","All","All","All","All","All","All","All","All",TRUE,"0.052","0.031","0.081",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","West Coast Region","All","All","All","All","All","All","All","All",TRUE,"0.072","0.016","0.189",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","Rural","All","All","All","All","All","All","All",TRUE,"0.040","0.025","0.061",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","U1","All","All","All","All","All","All","All",TRUE,"0.062","0.050","0.076",NA,NA,NA,NA,NA,NA,"None"
"Mental health care","child_unmet_need_mh_care","2021/22","2023/24","All","All","All","All","U2","All","All","All","All","All","All","All",TRUE,"0.076","0.059","0.096",NA,NA,NA,NA,NA,NA,"None"
