"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Neurodiversity","adhd","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.024","0.019","0.030",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.026","0.022","0.030",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.021","0.018","0.026",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.025","0.022","0.030",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.027","0.023","0.031",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.029","0.025","0.033",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.029","0.024","0.034",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.026","0.036",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.034","0.027","0.042",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.034","0.028","0.042",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.041","0.034","0.050",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.026","0.017","0.038",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.033","0.023","0.046",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.026","0.018","0.038",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.009","0.005","0.015",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.025","0.017","0.035",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.032","0.022","0.045",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.031","0.023","0.043",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.016","0.010","0.024",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.019","0.012","0.028",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.025","0.017","0.036",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.027","0.019","0.037",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.017","0.011","0.026",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.024","0.017","0.034",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.032","0.024","0.042",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.023","0.038",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.018","0.012","0.026",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.026","0.018","0.035",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.037","0.028","0.048",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2015/16","2017/18","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.029","0.021","0.039",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2015/16","2017/18","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.016","0.011","0.023",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2016/17","2018/19","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.028","0.021","0.037",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2016/17","2018/19","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.038","0.029","0.049",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2016/17","2018/19","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.022","0.040",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2016/17","2018/19","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.020","0.013","0.029",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.032","0.022","0.044",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.029","0.020","0.040",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2017/18","2019/20","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.032","0.023","0.044",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2017/18","2019/20","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.021","0.014","0.029",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2018/19","2020/21","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.021","0.041",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2018/19","2020/21","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.033","0.023","0.047",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2018/19","2020/21","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.038","0.027","0.051",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2018/19","2020/21","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.023","0.015","0.033",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2019/20","2021/22","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.025","0.016","0.037",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2019/20","2021/22","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.043","0.030","0.059",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2019/20","2021/22","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.041","0.028","0.057",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2019/20","2021/22","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.033","0.017","0.059",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2020/21","2022/23","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.026","0.017","0.038",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2020/21","2022/23","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.038","0.025","0.054",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2020/21","2022/23","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.043","0.029","0.062",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2020/21","2022/23","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.038","0.020","0.064",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.039","0.027","0.054",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.042","0.029","0.060",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.047","0.032","0.067",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.039","0.021","0.065",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,"0.000",NA,NA,NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",TRUE,"0.039","0.020","0.068",NA,NA,NA,NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.012","0.002","0.036",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Neurodiversity","adhd","2011/12","2013/14","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.025","0.010","0.053",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Neurodiversity","adhd","2011/12","2013/14","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.037","0.010","0.095",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Neurodiversity","adhd","2011/12","2013/14","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",TRUE,"0.029","0.013","0.053",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Neurodiversity","adhd","2011/12","2013/14","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",TRUE,"0.063","0.032","0.111",NA,NA,NA,NA,NA,NA,"None"
