"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.025","0.022","0.029",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.022","0.018","0.026",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.021","0.016","0.027",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.026","0.021","0.031",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.032","0.026","0.039",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.035","0.026","0.045",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.010","0.006","0.015",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.023","0.039",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.021","0.014","0.030",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.029","0.021","0.038",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.011","0.006","0.019",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.028","0.021","0.038",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.015","0.009","0.023",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.020","0.042",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.015","0.006","0.029",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.026","0.017","0.037",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.009","0.005","0.015",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.041","0.030","0.055",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.018","0.009","0.032",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.025","0.015","0.038",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.007","0.003","0.014",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.050","0.038","0.065",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.019","0.010","0.033",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.030","0.019","0.044",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.016","0.009","0.026",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,"0.000",NA,NA,NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",TRUE,"0.021","0.012","0.034",NA,NA,NA,NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.011","0.001","0.042",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.038","0.015","0.078",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.006","0.001","0.019",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
