"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Other health conditions","kidasthma_med","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.145","0.137","0.154",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.149","0.140","0.158",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.157","0.148","0.166",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.154","0.145","0.163",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.153","0.146","0.161",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.141","0.134","0.149",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.139","0.131","0.148",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.129","0.120","0.137",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.124","0.114","0.135",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.120","0.109","0.132",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.118","0.107","0.131",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.135","0.123","0.148",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.158","0.139","0.177",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.158","0.139","0.178",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.137","0.118","0.157",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.133","0.118","0.149",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.154","0.137","0.172",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.172","0.153","0.192",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.147","0.128","0.169",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.133","0.118","0.150",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.165","0.146","0.184",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2013/14","2015/16","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.185","0.165","0.206",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2013/14","2015/16","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.163","0.143","0.184",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2014/15","2016/17","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.125","0.112","0.140",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2014/15","2016/17","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.166","0.148","0.185",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2014/15","2016/17","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.190","0.170","0.211",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2014/15","2016/17","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.159","0.136","0.184",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.139","0.126","0.153",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.166","0.147","0.186",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2015/16","2017/18","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.178","0.159","0.199",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2015/16","2017/18","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.144","0.123","0.167",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2016/17","2018/19","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.132","0.120","0.144",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2016/17","2018/19","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.149","0.132","0.167",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2016/17","2018/19","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.164","0.145","0.184",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2016/17","2018/19","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.130","0.112","0.151",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.134","0.119","0.150",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.147","0.129","0.167",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2017/18","2019/20","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.164","0.144","0.185",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2017/18","2019/20","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.119","0.102","0.138",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2018/19","2020/21","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.120","0.107","0.134",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2018/19","2020/21","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.134","0.116","0.154",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2018/19","2020/21","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.149","0.130","0.171",NA,NA,NA,NA,NA,NA,"None"
"Other health conditions","kidasthma_med","2018/19","2020/21","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.119","0.101","0.139",NA,NA,NA,NA,NA,NA,"None"
