"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Physical activity","trans_to_skool","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.452","0.431","0.473",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.434","0.413","0.456",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.438","0.418","0.459",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.439","0.421","0.457",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.446","0.430","0.463",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.439","0.421","0.456",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.431","0.411","0.452",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.430","0.411","0.450",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.429","0.407","0.451",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.417","0.396","0.438",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.402","0.382","0.423",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.440","0.405","0.476",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.447","0.408","0.487",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.457","0.418","0.496",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.475","0.431","0.518",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.409","0.372","0.447",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.439","0.396","0.484",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.438","0.404","0.472",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.470","0.419","0.522",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.413","0.378","0.448",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.447","0.402","0.492",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.443","0.405","0.480",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.467","0.421","0.513",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.408","0.375","0.441",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.426","0.389","0.463",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.463","0.422","0.504",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.479","0.434","0.524",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.420","0.390","0.451",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.403","0.371","0.435",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2015/16","2017/18","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.488","0.456","0.520",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2015/16","2017/18","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.493","0.453","0.534",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2016/17","2018/19","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.429","0.398","0.460",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2016/17","2018/19","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.391","0.354","0.430",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2016/17","2018/19","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.475","0.438","0.513",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2016/17","2018/19","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.469","0.433","0.506",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.415","0.379","0.452",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.379","0.338","0.421",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2017/18","2019/20","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.453","0.404","0.502",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2017/18","2019/20","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.491","0.453","0.530",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2018/19","2020/21","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.410","0.374","0.446",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2018/19","2020/21","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.390","0.349","0.433",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2018/19","2020/21","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.455","0.405","0.505",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2018/19","2020/21","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.489","0.444","0.533",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2019/20","2021/22","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.399","0.361","0.438",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2019/20","2021/22","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.385","0.336","0.436",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2019/20","2021/22","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.469","0.414","0.524",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2019/20","2021/22","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.486","0.436","0.536",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2020/21","2022/23","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.382","0.349","0.416",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2020/21","2022/23","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.380","0.337","0.425",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2020/21","2022/23","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.473","0.420","0.526",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2020/21","2022/23","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.465","0.412","0.519",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.378","0.343","0.413",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.344","0.299","0.391",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.443","0.393","0.494",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.463","0.410","0.517",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,"0.587","0.355","0.793",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",TRUE,"0.495","0.444","0.546",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.478","0.407","0.550",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.537","0.459","0.613",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.300","0.220","0.390",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",TRUE,"0.457","0.377","0.539",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",TRUE,"0.419","0.316","0.526",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Pae Oranga o Ruahine o Tararua","All","All","All","All","All","All","All","All","All","All",TRUE,"0.385","0.293","0.484",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Punanga Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.506","0.401","0.610",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Taumata Hauora o Te Kahu o Taonui","All","All","All","All","All","All","All","All","All","All",TRUE,"0.413","0.368","0.460",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Taura Ora o Waiariki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.365","0.275","0.464",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Tauraki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.465","0.416","0.515",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Te Tiratū","All","All","All","All","All","All","All","All","All","All",TRUE,"0.435","0.361","0.511",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Tihei Tākitimu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.433","0.368","0.499",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Tūwharetoa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.334","0.171","0.532",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","All","Ātiawa Toa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.527","0.492","0.562",NA,NA,NA,NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,"0.452","0.221","0.700",NA,NA,NA,NA,NA,NA,"None"
