"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Sleep","child_short_sleep","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.166","0.155","0.176",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.172","0.161","0.183",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.177","0.164","0.190",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.196","0.182","0.211",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.217","0.200","0.234",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.202","0.181","0.224",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.149","0.131","0.168",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2017/18","2019/20","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.152","0.134","0.171",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2017/18","2019/20","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.132","0.115","0.150",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2018/19","2020/21","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.202","0.181","0.225",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2018/19","2020/21","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.153","0.137","0.171",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2018/19","2020/21","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.171","0.150","0.194",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2018/19","2020/21","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.136","0.116","0.158",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2019/20","2021/22","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.205","0.179","0.233",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2019/20","2021/22","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.153","0.134","0.173",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2019/20","2021/22","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.167","0.144","0.192",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2019/20","2021/22","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.161","0.131","0.194",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2020/21","2022/23","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.250","0.219","0.282",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2020/21","2022/23","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.172","0.148","0.197",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2020/21","2022/23","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.156","0.132","0.184",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2020/21","2022/23","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.164","0.132","0.201",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.305","0.269","0.343",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.190","0.159","0.223",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.146","0.124","0.171",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.159","0.127","0.195",NA,NA,NA,NA,NA,NA,"None"
"Sleep","child_short_sleep","2017/18","2019/20","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,"0.297","0.007","0.870",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Sleep","child_short_sleep","2017/18","2019/20","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",TRUE,"0.238","0.203","0.275",NA,NA,NA,NA,NA,NA,"None"
