"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.121","0.109","0.135",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.126","0.114","0.139",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.105","0.084","0.130",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.122","0.097","0.150",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.127","0.104","0.152",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.139","0.108","0.175",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.112","0.091","0.137",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.122","0.100","0.147",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.124","0.099","0.151",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.150","0.117","0.187",NA,NA,NA,NA,NA,NA,"None"
