"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Discontinued indicators","kidanxiety","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.023","0.019","0.028"," 18,000"," 14,000"," 21,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.025","0.020","0.029"," 19,000"," 16,000"," 23,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.027","0.023","0.032"," 21,000"," 18,000"," 25,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.028","0.024","0.033"," 22,000"," 19,000"," 26,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.032","0.028","0.038"," 26,000"," 22,000"," 30,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.036","0.032","0.040"," 29,000"," 26,000"," 33,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.038","0.033","0.044"," 32,000"," 28,000"," 36,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.038","0.032","0.043"," 32,000"," 27,000"," 36,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.039","0.033","0.046"," 33,000"," 27,000"," 38,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.016","0.010","0.024","  5,000","  3,000","  7,000",NA,NA,NA,"None"
