"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Emergency department use","kidedvisit","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.140","0.131","0.149","127,000","119,000","135,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.145","0.137","0.154","133,000","125,000","140,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.149","0.142","0.157","137,000","130,000","143,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.151","0.144","0.159","139,000","133,000","146,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.146","0.138","0.155","136,000","129,000","144,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.145","0.138","0.153","137,000","130,000","144,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.151","0.143","0.159","144,000","136,000","152,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.145","0.136","0.155","140,000","130,000","149,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.149","0.138","0.160","144,000","134,000","154,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.157","0.145","0.169","151,000","140,000","163,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.186","0.173","0.199","180,000","167,000","192,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.114","0.101","0.127"," 38,000"," 32,000"," 45,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.162","0.148","0.176"," 32,000"," 26,000"," 39,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.162","0.142","0.184"," 31,000"," 25,000"," 36,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.142","0.122","0.163"," 26,000"," 20,000"," 32,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.119","0.107","0.131"," 40,000"," 33,000"," 47,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.176","0.158","0.195"," 35,000"," 27,000"," 43,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.163","0.143","0.184"," 31,000"," 26,000"," 37,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.143","0.125","0.163"," 27,000"," 21,000"," 32,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.123","0.112","0.134"," 41,000"," 35,000"," 47,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.181","0.166","0.198"," 36,000"," 29,000"," 43,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2013/14","2015/16","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.162","0.144","0.181"," 31,000"," 25,000"," 36,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2013/14","2015/16","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.151","0.135","0.168"," 29,000"," 24,000"," 34,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2014/15","2016/17","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.129","0.117","0.142"," 44,000"," 39,000"," 50,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2014/15","2016/17","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.178","0.162","0.195"," 35,000"," 29,000"," 41,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2014/15","2016/17","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.159","0.142","0.177"," 28,000"," 24,000"," 33,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2014/15","2016/17","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.155","0.136","0.174"," 32,000"," 27,000"," 36,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.125","0.114","0.138"," 43,000"," 38,000"," 48,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.167","0.148","0.187"," 33,000"," 28,000"," 39,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2015/16","2017/18","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.156","0.140","0.174"," 28,000"," 24,000"," 32,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2015/16","2017/18","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.152","0.132","0.175"," 32,000"," 27,000"," 37,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2016/17","2018/19","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.129","0.115","0.143"," 46,000"," 40,000"," 51,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2016/17","2018/19","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.166","0.148","0.185"," 34,000"," 29,000"," 39,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2016/17","2018/19","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.154","0.138","0.172"," 28,000"," 24,000"," 32,000",NA,NA,NA,"None"
"Emergency department use","kidedvisit","2016/17","2018/19","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.147","0.127","0.168"," 30,000"," 26,000"," 34,000",NA,NA,NA,"None"
