"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Neurodiversity","adhd","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.024","0.019","0.030"," 14,000"," 11,000"," 17,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.026","0.022","0.030"," 15,000"," 13,000"," 18,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.021","0.018","0.026"," 13,000"," 11,000"," 15,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.025","0.021","0.030"," 16,000"," 13,000"," 18,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.027","0.023","0.031"," 17,000"," 14,000"," 19,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.029","0.025","0.033"," 18,000"," 16,000"," 21,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.029","0.024","0.033"," 18,000"," 16,000"," 21,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.030","0.026","0.036"," 20,000"," 17,000"," 23,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.034","0.027","0.042"," 23,000"," 18,000"," 27,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.035","0.028","0.043"," 23,000"," 18,000"," 28,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.042","0.034","0.050"," 28,000"," 23,000"," 33,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.026","0.017","0.037","  6,000","  3,000","  8,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.033","0.023","0.046","  4,000","  3,000","  6,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.027","0.018","0.038","  3,000","  2,000","  5,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.009","0.005","0.015","  1,000","  1,000","  2,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.025","0.017","0.035","  5,000","  3,000","  7,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.031","0.021","0.043","  4,000","  3,000","  6,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.032","0.023","0.043","  4,000","  3,000","  5,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.016","0.009","0.024","  2,000","  1,000","  3,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.019","0.012","0.028","  4,000","  2,000","  6,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.025","0.017","0.035","  3,000","  2,000","  4,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.027","0.019","0.037","  3,000","  2,000","  5,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2013/14","2015/16","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.017","0.010","0.026","  2,000","  1,000","  3,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.024","0.017","0.034","  5,000","  3,000","  7,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.031","0.023","0.041","  4,000","  3,000","  5,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.030","0.023","0.038","  4,000","  3,000","  5,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2014/15","2016/17","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.018","0.012","0.026","  3,000","  2,000","  4,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.026","0.018","0.035","  6,000","  4,000","  8,000",NA,NA,NA,"None"
"Neurodiversity","adhd","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.037","0.028","0.047","  5,000","  4,000","  6,000",NA,NA,NA,"None"
