"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.025","0.022","0.030"," 23,000"," 19,000"," 26,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.022","0.018","0.026"," 20,000"," 16,000"," 23,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.022","0.017","0.027"," 20,000"," 15,000"," 24,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.026","0.021","0.032"," 24,000"," 19,000"," 28,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.033","0.027","0.040"," 30,000"," 24,000"," 36,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.035","0.026","0.044"," 11,000","  9,000"," 14,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.010","0.006","0.015","  2,000","  1,000","  3,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.031","0.023","0.040","  5,000","  4,000","  7,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.022","0.015","0.031","  4,000","  3,000","  6,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.029","0.021","0.038"," 10,000","  7,000"," 13,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.011","0.006","0.019","  2,000","  1,000","  4,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.029","0.021","0.038","  5,000","  3,000","  6,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.015","0.009","0.024","  3,000","  2,000","  4,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.030","0.021","0.042"," 10,000","  7,000"," 14,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.015","0.007","0.030","  3,000","  1,000","  5,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.027","0.018","0.039","  5,000","  3,000","  6,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.010","0.005","0.016","  2,000","  1,000","  3,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.042","0.030","0.055"," 14,000"," 10,000"," 18,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.019","0.009","0.034","  4,000","  1,000","  6,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.026","0.016","0.039","  4,000","  3,000","  6,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.008","0.003","0.015","  2,000","      0","  3,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.051","0.038","0.066"," 17,000"," 13,000"," 22,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.020","0.011","0.034","  4,000","  2,000","  6,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.030","0.020","0.045","  5,000","  3,000","  8,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.017","0.009","0.027","  3,000","  2,000","  5,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",FALSE,"0.000",NA,NA,"      0","      0","      0",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",FALSE,"0.022","0.012","0.035","  3,000","  1,000","  4,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.011","0.001","0.044","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",FALSE,"0.042","0.016","0.086","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.006","0.001","0.018","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",FALSE,"0.015","0.006","0.030","  1,000","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",FALSE,"0.016","0.003","0.048","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Pae Oranga o Ruahine o Tararua","All","All","All","All","All","All","All","All","All","All",FALSE,"0.014","0.003","0.038","      0","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Punanga Ora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.000",NA,NA,"      0","      0","      0",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Taumata Hauora o Te Kahu o Taonui","All","All","All","All","All","All","All","All","All","All",FALSE,"0.042","0.031","0.055","  9,000","  6,000"," 12,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Taura Ora o Waiariki","All","All","All","All","All","All","All","All","All","All",FALSE,"0.036","0.017","0.068","  1,000","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Tauraki","All","All","All","All","All","All","All","All","All","All",FALSE,"0.018","0.011","0.027","  3,000","  2,000","  4,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Te Tiratū","All","All","All","All","All","All","All","All","All","All",FALSE,"0.006","0.002","0.014","  1,000","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Tihei Tākitimu","All","All","All","All","All","All","All","All","All","All",FALSE,"0.031","0.016","0.054","  1,000","      0","  2,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Tūwharetoa","All","All","All","All","All","All","All","All","All","All",FALSE,"0.000",NA,NA,"      0","      0","      0",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2017/18","2019/20","All","Ātiawa Toa","All","All","All","All","All","All","All","All","All","All",FALSE,"0.042","0.030","0.058","  3,000","  2,000","  5,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",FALSE,".S",".S",".S",".S",".S",".S",NA,NA,NA,"Suppress"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",FALSE,"0.017","0.009","0.029","  2,000","  1,000","  3,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",FALSE,".S",".S",".S",".S",".S",".S",NA,NA,NA,"Suppress"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",FALSE,"0.032","0.012","0.070","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.012","0.002","0.038","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",FALSE,"0.026","0.010","0.056","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",FALSE,"0.017","0.003","0.053","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Pae Oranga o Ruahine o Tararua","All","All","All","All","All","All","All","All","All","All",FALSE,"0.006","0.001","0.018","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Punanga Ora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.000",NA,NA,"      0","      0","      0",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Taumata Hauora o Te Kahu o Taonui","All","All","All","All","All","All","All","All","All","All",FALSE,"0.035","0.025","0.047","  8,000","  5,000"," 11,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Taura Ora o Waiariki","All","All","All","All","All","All","All","All","All","All",FALSE,"0.037","0.015","0.073","  1,000","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Tauraki","All","All","All","All","All","All","All","All","All","All",FALSE,"0.012","0.006","0.021","  2,000","  1,000","  3,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Te Tiratū","All","All","All","All","All","All","All","All","All","All",FALSE,"0.003","0.000","0.011","      0","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Tihei Tākitimu","All","All","All","All","All","All","All","All","All","All",FALSE,"0.034","0.017","0.059","  1,000","  1,000","  2,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Tūwharetoa","All","All","All","All","All","All","All","All","All","All",FALSE,"0.000",NA,NA,"      0","      0","      0",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2018/19","2020/21","All","Ātiawa Toa","All","All","All","All","All","All","All","All","All","All",FALSE,"0.038","0.026","0.055","  3,000","  2,000","  4,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",FALSE,".S",".S",".S",".S",".S",".S",NA,NA,NA,"Suppress"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",FALSE,"0.013","0.006","0.025","  2,000","      0","  3,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.057","0.006","0.203","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",FALSE,"0.030","0.011","0.063","  1,000","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.023","0.003","0.081","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",FALSE,"0.021","0.005","0.055","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",FALSE,"0.014","0.001","0.059","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Pae Oranga o Ruahine o Tararua","All","All","All","All","All","All","All","All","All","All",FALSE,"0.015","0.002","0.049","      0","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Punanga Ora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.000",NA,NA,"      0","      0","      0",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Taumata Hauora o Te Kahu o Taonui","All","All","All","All","All","All","All","All","All","All",FALSE,"0.038","0.026","0.054","  9,000","  5,000"," 12,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Taura Ora o Waiariki","All","All","All","All","All","All","All","All","All","All",FALSE,"0.027","0.009","0.062","      0","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Tauraki","All","All","All","All","All","All","All","All","All","All",FALSE,"0.007","0.003","0.014","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Te Tiratū","All","All","All","All","All","All","All","All","All","All",FALSE,"0.010","0.001","0.042","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Tihei Tākitimu","All","All","All","All","All","All","All","All","All","All",FALSE,"0.035","0.011","0.080","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Tūwharetoa","All","All","All","All","All","All","All","All","All","All",FALSE,"0.000",NA,NA,"      0","      0","      0",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2019/20","2021/22","All","Ātiawa Toa","All","All","All","All","All","All","All","All","All","All",FALSE,"0.030","0.017","0.049","  3,000","  1,000","  4,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",FALSE,".S",".S",".S",".S",".S",".S",NA,NA,NA,"Suppress"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",FALSE,"0.038","0.020","0.064","  4,000","  2,000","  7,000",NA,NA,NA,"None"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.050","0.003","0.214","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",FALSE,"0.008","0.001","0.025","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.020","0.002","0.073","      0","      0","      0",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",FALSE,"0.022","0.006","0.053","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",FALSE,".S",".S",".S",".S",".S",".S",NA,NA,NA,"Suppress"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","Te Pae Oranga o Ruahine o Tararua","All","All","All","All","All","All","All","All","All","All",FALSE,"0.034","0.008","0.090","  1,000","      0","  2,000",NA,NA,NA,"Low Quality Flag"
"Oral health care","kidunmetneed_dental_cost","2020/21","2022/23","All","Te Punanga Ora","All","All","All","All","All","All","All","All","All","All",FALSE,"0.000",NA,NA,"      0","      0","      0",NA,NA,NA,"None"
