"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Physical activity","trans_to_skool","2011/12","2013/14","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.453","0.432","0.474","270,000","258,000","282,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.434","0.412","0.456","261,000","248,000","274,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.438","0.417","0.458","266,000","254,000","279,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.438","0.420","0.456","270,000","259,000","281,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.445","0.428","0.462","279,000","269,000","290,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.438","0.420","0.456","279,000","268,000","290,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.431","0.411","0.451","279,000","266,000","292,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.431","0.411","0.450","282,000","270,000","294,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.430","0.408","0.452","284,000","269,000","298,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.419","0.398","0.440","277,000","264,000","291,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.404","0.384","0.425","269,000","256,000","282,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.440","0.405","0.476"," 96,000"," 80,000","113,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.446","0.407","0.486"," 57,000"," 45,000"," 69,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.459","0.419","0.498"," 59,000"," 49,000"," 68,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2011/12","2013/14","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.475","0.430","0.520"," 58,000"," 46,000"," 70,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.409","0.373","0.447"," 89,000"," 73,000","105,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.437","0.394","0.480"," 57,000"," 44,000"," 70,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.440","0.406","0.474"," 56,000"," 47,000"," 66,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2012/13","2014/15","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.469","0.417","0.522"," 59,000"," 46,000"," 72,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.412","0.378","0.448"," 90,000"," 76,000","104,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.445","0.400","0.489"," 58,000"," 46,000"," 71,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.445","0.407","0.483"," 57,000"," 48,000"," 65,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2013/14","2015/16","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.465","0.420","0.512"," 61,000"," 50,000"," 72,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.407","0.375","0.440"," 91,000"," 80,000","103,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.424","0.387","0.461"," 56,000"," 46,000"," 66,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.465","0.424","0.506"," 55,000"," 46,000"," 64,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2014/15","2016/17","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.478","0.434","0.523"," 68,000"," 58,000"," 78,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.419","0.389","0.450"," 96,000"," 84,000","107,000",NA,NA,NA,"None"
"Physical activity","trans_to_skool","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.400","0.368","0.432"," 54,000"," 46,000"," 62,000",NA,NA,NA,"None"
