"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.429","0.415","0.442","400,000","387,000","412,000",NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.414","0.400","0.427","390,000","378,000","402,000",NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.388","0.374","0.402","369,000","356,000","383,000",NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.349","0.333","0.365","335,000","321,000","350,000",NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.308","0.291","0.326","298,000","281,000","314,000",NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.271","0.254","0.290","262,000","245,000","279,000",NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.256","0.237","0.276","248,000","230,000","266,000",NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.392","0.368","0.417","134,000","119,000","149,000",NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.528","0.504","0.551","106,000"," 92,000","119,000",NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.425","0.395","0.456"," 77,000"," 68,000"," 86,000",NA,NA,NA,"None"
