"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Private health insurance","kidprivate_insurance","2012/13","2014/15","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.283","0.272","0.294","258,000","248,000","268,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2013/14","2015/16","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.283","0.272","0.294","259,000","249,000","269,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2014/15","2016/17","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.286","0.274","0.298","264,000","253,000","275,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2015/16","2017/18","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.288","0.276","0.301","269,000","257,000","280,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2016/17","2018/19","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.291","0.279","0.304","275,000","263,000","286,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.298","0.285","0.311","284,000","272,000","296,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.302","0.289","0.315","290,000","278,000","303,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.317","0.300","0.335","306,000","290,000","323,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.312","0.293","0.331","301,000","283,000","319,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.300","0.282","0.318","291,000","274,000","308,000",NA,NA,NA,"None"
"Private health insurance","kidprivate_insurance","2012/13","2014/15","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.326","0.298","0.354","109,000"," 90,000","127,000",NA,NA,NA,"None"
