"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Sleep","child_short_sleep","2017/18","2019/20","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.165","0.155","0.175","157,000","147,000","167,000",NA,NA,NA,"None"
"Sleep","child_short_sleep","2018/19","2020/21","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.171","0.161","0.182","165,000","155,000","175,000",NA,NA,NA,"None"
"Sleep","child_short_sleep","2019/20","2021/22","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.177","0.164","0.190","171,000","158,000","183,000",NA,NA,NA,"None"
"Sleep","child_short_sleep","2020/21","2022/23","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.196","0.182","0.211","190,000","176,000","204,000",NA,NA,NA,"None"
"Sleep","child_short_sleep","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.217","0.200","0.235","210,000","194,000","227,000",NA,NA,NA,"None"
"Sleep","child_short_sleep","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.201","0.181","0.223"," 72,000"," 63,000"," 80,000",NA,NA,NA,"None"
"Sleep","child_short_sleep","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.147","0.130","0.166"," 31,000"," 26,000"," 37,000",NA,NA,NA,"None"
"Sleep","child_short_sleep","2017/18","2019/20","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.151","0.134","0.171"," 27,000"," 24,000"," 31,000",NA,NA,NA,"None"
"Sleep","child_short_sleep","2017/18","2019/20","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.131","0.115","0.149"," 27,000"," 23,000"," 31,000",NA,NA,NA,"None"
"Sleep","child_short_sleep","2018/19","2020/21","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.201","0.180","0.224"," 74,000"," 63,000"," 84,000",NA,NA,NA,"None"
